Workload,Input,L1I_MPKI,L1D_MPKI,L2_MPKI,LLC_MPKI,Instructions,Cycles
comparisonSort/stableSampleSort,randomSeq_10M_double,0.09952,0.29859,0.16409,0.14595,44048590765.3,12372844453.2
comparisonSort/stableSampleSort,exptSeq_10M_double,0.10571,0.33384,0.18362,0.15908,38654961451.7,10961166107.7
comparisonSort/stableSampleSort,almostSortedSeq_10M_double,0.13988,0.47285,0.26945,0.23778,26869640715.0,7294099855.8
comparisonSort/stableSampleSort,randomSeq_10M_double_pair_double,0.06953,0.42965,0.24056,0.21472,63372382059.4,17072400141.1
comparisonSort/stableSampleSort,trigramSeq_10M,0.04903,0.23953,0.14282,0.1263,123438826572.6,45933609969.6
minSpanningForest/serialMST,randLocalGraph_WE_10_2000000,0.01179,2.37866,2.14287,0.91128,46398962243.1,22642744792.3
minSpanningForest/serialMST,rMatGraph_WE_12_2250000,0.01156,2.62433,2.08302,1.05516,64672390416.9,33848532209.9
minSpanningForest/serialMST,3Dgrid_WE_8000000,0.01014,2.82517,2.06899,1.25787,72219649323.4,42926600592.6
suffixArray/parallelRange,trigramString_10000000,0.00567,0.52426,0.54022,0.4691,80101964795.9,34082286831.6
suffixArray/parallelRange,chr22.dna,0.01082,0.48659,0.42939,0.34163,392777690433.1,164528501327.6
convexHull/serialHull,2DinSphere_10000000,0.00068,1.60129,2.90325,2.59309,16308060029.3,8734190960.7
convexHull/serialHull,2Dkuzmin_10000000,0.00037,0.72606,0.86796,0.82704,14410014548.4,6346403007.7
convexHull/serialHull,2DonSphere_10000000,0.00103,2.94542,4.73735,3.33511,139953471489.9,81911210143.4
classify/decisionTree,covtype.data,0.29142,0.032,0.01744,0.00874,1579647609166.7,750417384557.0
