Workload,Input,L1I_MPKI,L1D_MPKI,L2_MPKI,LLC_MPKI,Instructions,Cycles
comparisonSort/stableSampleSort,randomSeq_10M_double,0.09399,0.29859,0.16447,0.14453,44048593287.9,12113918547.7
comparisonSort/stableSampleSort,exptSeq_10M_double,0.0942,0.33416,0.18192,0.15868,38655563987.5,10629719407.9
comparisonSort/stableSampleSort,almostSortedSeq_10M_double,0.1282,0.47188,0.27001,0.23706,26869750177.3,6894894158.9
comparisonSort/stableSampleSort,randomSeq_10M_double_pair_double,0.07804,0.42946,0.24119,0.21461,63372382153.8,18348719697.9
comparisonSort/stableSampleSort,trigramSeq_10M,0.05147,0.23966,0.14214,0.12645,123438792422.8,46318350135.6
minSpanningForest/serialMST,randLocalGraph_WE_10_2000000,0.01385,2.38411,2.14744,0.90829,46398962003.5,22843595690.8
minSpanningForest/serialMST,rMatGraph_WE_12_2250000,0.01382,2.62614,2.06493,1.03175,64672389517.1,33801170593.1
minSpanningForest/serialMST,3Dgrid_WE_8000000,0.01216,2.8297,2.05466,1.24609,72219648178.1,43309517387.8
suffixArray/parallelRange,trigramString_10000000,0.00562,0.5264,0.54008,0.46891,80101896207.7,34877665946.2
suffixArray/parallelRange,chr22.dna,0.01062,0.48846,0.42807,0.33887,392777685510.7,167122499999.1
convexHull/serialHull,2DinSphere_10000000,0.00046,1.60096,2.90088,2.57994,16308059469.5,8340476619.9
convexHull/serialHull,2Dkuzmin_10000000,0.00038,0.72293,0.86742,0.82489,14410014267.2,6321843289.1
convexHull/serialHull,2DonSphere_10000000,0.00075,2.94769,4.7349,3.32595,139953469931.3,78834969261.2
classify/decisionTree,covtype.data,0.30196,0.03198,0.01777,0.00859,1579648069962.4,749515852421.8
