Workload,Input,L1I_MPKI,L1D_MPKI,L2_MPKI,LLC_MPKI,Instructions,Cycles
comparisonSort/stableSampleSort,randomSeq_10M_double,0.10159,0.14306,0.29319,0.05695,44048613882.9,12367655427.9
comparisonSort/stableSampleSort,exptSeq_10M_double,0.10621,0.15206,0.32321,0.06069,38654976867.5,10887048260.7
comparisonSort/stableSampleSort,almostSortedSeq_10M_double,0.14602,0.20643,0.46122,0.07697,26869679976.3,7279144952.3
comparisonSort/stableSampleSort,randomSeq_10M_double_pair_double,0.06776,0.15483,0.4515,0.10864,63372370704.6,17018729808.0
comparisonSort/stableSampleSort,trigramSeq_10M,0.04839,0.1054,0.28026,0.05348,123438781177.3,45898988698.8
minSpanningForest/serialMST,randLocalGraph_WE_10_2000000,0.01178,1.29763,2.79782,0.44846,46398961578.0,22177387629.8
minSpanningForest/serialMST,rMatGraph_WE_12_2250000,0.01122,1.48249,2.78109,0.56315,64672389302.1,32973895785.2
minSpanningForest/serialMST,3Dgrid_WE_8000000,0.00974,1.5948,3.11034,0.98921,72219647935.3,42290539856.9
suffixArray/parallelRange,trigramString_10000000,0.00568,0.27084,0.84784,0.24852,80101917929.8,33641212390.6
suffixArray/parallelRange,chr22.dna,0.01035,0.26004,0.64386,0.21453,392777676867.5,162409699225.5
convexHull/serialHull,2DinSphere_10000000,0.00045,1.3624,4.70111,1.27787,16308059431.0,8207374054.7
convexHull/serialHull,2Dkuzmin_10000000,0.00032,0.58505,1.51013,0.28673,14410014142.5,6269476361.5
convexHull/serialHull,2DonSphere_10000000,0.00094,2.82523,5.45517,2.47444,139953469820.2,78551206462.7
classify/decisionTree,covtype.data,0.29546,0.01907,0.02768,0.00339,1579646622104.7,751228508054.4
