Workload,Input,L1I_MPKI,L1D_MPKI,L2_MPKI,LLC_MPKI,Instructions,Cycles
comparisonSort/stableSampleSort,randomSeq_10M_double,0.09068,0.14573,0.29193,0.05726,44048617443.1,12089697370.9
comparisonSort/stableSampleSort,exptSeq_10M_double,0.09389,0.15338,0.32354,0.06047,38655534284.3,10610979912.1
comparisonSort/stableSampleSort,almostSortedSeq_10M_double,0.12855,0.21193,0.45961,0.07621,26869670073.3,6878471039.8
comparisonSort/stableSampleSort,randomSeq_10M_double_pair_double,0.07118,0.15687,0.44803,0.10831,63372365320.3,18292269465.1
comparisonSort/stableSampleSort,trigramSeq_10M,0.05099,0.10366,0.28108,0.05399,123438742377.8,46319321778.8
minSpanningForest/serialMST,randLocalGraph_WE_10_2000000,0.0141,1.30425,2.78506,0.44555,46398962231.7,22313614571.7
minSpanningForest/serialMST,rMatGraph_WE_12_2250000,0.01376,1.49071,2.77019,0.57024,64672389457.5,33365124051.8
minSpanningForest/serialMST,3Dgrid_WE_8000000,0.01241,1.61139,3.10784,0.97722,72219647970.2,42495557889.4
suffixArray/parallelRange,trigramString_10000000,0.00563,0.27712,0.84856,0.24711,80101901335.7,34639629904.4
suffixArray/parallelRange,chr22.dna,0.01046,0.26034,0.64121,0.21373,392777676604.9,166280415488.0
convexHull/serialHull,2DinSphere_10000000,0.00046,1.35904,4.69673,1.27302,16308059371.4,8085341643.7
convexHull/serialHull,2Dkuzmin_10000000,0.00039,0.58416,1.50926,0.2866,14410014152.6,6248166947.0
convexHull/serialHull,2DonSphere_10000000,0.00076,2.82529,5.43955,2.47329,139953469784.4,78392142495.2
classify/decisionTree,covtype.data,0.30077,0.01938,0.02775,0.00339,1579647703252.0,749818080730.7
